WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment
B,2,B02,7,healthy,NA,DMSO
B,3,B03,25,failing,dilated_cardiomyopathy,UCD-0159253
B,4,B04,25,failing,dilated_cardiomyopathy,UCD-0159596
B,5,B05,7,healthy,NA,DMSO
B,6,B06,25,failing,dilated_cardiomyopathy,UCD-0159528
B,7,B07,25,failing,dilated_cardiomyopathy,UCD-0159536
B,8,B08,7,healthy,NA,DMSO
B,9,B09,25,failing,dilated_cardiomyopathy,UCD-0159544
B,10,B10,25,failing,dilated_cardiomyopathy,UCD-0159551
B,11,B11,7,healthy,NA,DMSO
C,2,C02,25,failing,dilated_cardiomyopathy,UCD-0159559
C,3,C03,25,failing,dilated_cardiomyopathy,UCD-0159567
C,4,C04,25,failing,dilated_cardiomyopathy,UCD-0159575
C,5,C05,25,failing,dilated_cardiomyopathy,UCD-0159583
C,6,C06,25,failing,dilated_cardiomyopathy,UCD-0159590
C,7,C07,25,failing,dilated_cardiomyopathy,UCD-0159597
C,8,C08,25,failing,dilated_cardiomyopathy,UCD-0159598
C,9,C09,25,failing,dilated_cardiomyopathy,UCD-0159605
C,10,C10,25,failing,dilated_cardiomyopathy,UCD-0159612
C,11,C11,25,failing,dilated_cardiomyopathy,UCD-0159620
D,2,D02,25,failing,dilated_cardiomyopathy,UCD-0159628
D,3,D03,25,failing,dilated_cardiomyopathy,UCD-0159636
D,4,D04,25,failing,dilated_cardiomyopathy,UCD-0159644
D,5,D05,25,failing,dilated_cardiomyopathy,UCD-0159650
D,6,D06,25,failing,dilated_cardiomyopathy,UCD-0159658
D,7,D07,25,failing,dilated_cardiomyopathy,UCD-0159599
D,8,D08,25,failing,dilated_cardiomyopathy,UCD-0159606
D,9,D09,25,failing,dilated_cardiomyopathy,UCD-0159613
D,10,D10,25,failing,dilated_cardiomyopathy,UCD-0159621
D,11,D11,25,failing,dilated_cardiomyopathy,UCD-0159629
E,2,E02,25,failing,dilated_cardiomyopathy,DMSO
E,3,E03,25,failing,dilated_cardiomyopathy,UCD-0159637
E,4,E04,25,failing,dilated_cardiomyopathy,UCD-0159645
E,5,E05,25,failing,dilated_cardiomyopathy,DMSO
E,6,E06,25,failing,dilated_cardiomyopathy,UCD-0159651
E,7,E07,25,failing,dilated_cardiomyopathy,UCD-0159659
E,8,E08,25,failing,dilated_cardiomyopathy,DMSO
E,9,E09,25,failing,dilated_cardiomyopathy,UCD-0159666
E,10,E10,25,failing,dilated_cardiomyopathy,UCD-0159607
E,11,E11,25,failing,dilated_cardiomyopathy,DMSO
F,2,F02,25,failing,dilated_cardiomyopathy,UCD-0159614
F,3,F03,25,failing,dilated_cardiomyopathy,UCD-0159622
F,4,F04,25,failing,dilated_cardiomyopathy,UCD-0159630
F,5,F05,25,failing,dilated_cardiomyopathy,UCD-0159638
F,6,F06,25,failing,dilated_cardiomyopathy,UCD-0159646
F,7,F07,25,failing,dilated_cardiomyopathy,UCD-0159652
F,8,F08,25,failing,dilated_cardiomyopathy,UCD-0159660
F,9,F09,25,failing,dilated_cardiomyopathy,UCD-0159600
F,10,F10,25,failing,dilated_cardiomyopathy,UCD-0001957
F,11,F11,25,failing,dilated_cardiomyopathy,UCD-0159615
G,2,G02,25,failing,dilated_cardiomyopathy,UCD-0159623
G,3,G03,25,failing,dilated_cardiomyopathy,UCD-0159631
G,4,G04,25,failing,dilated_cardiomyopathy,UCD-0159639
G,5,G05,25,failing,dilated_cardiomyopathy,UCD-0159647
G,6,G06,25,failing,dilated_cardiomyopathy,UCD-0159653
G,7,G07,25,failing,dilated_cardiomyopathy,UCD-0159661
G,8,G08,25,failing,dilated_cardiomyopathy,UCD-0159601
G,9,G09,25,failing,dilated_cardiomyopathy,UCD-0159608
G,10,G10,25,failing,dilated_cardiomyopathy,UCD-0159616
G,11,G11,25,failing,dilated_cardiomyopathy,UCD-0159624
