Feature,Coefficient,Model
Cytoplasm_AreaShape_Area,0.0,localhost240926150001
Cytoplasm_AreaShape_BoundingBoxMinimum_X,0.12314170735269354,localhost240926150001
Cytoplasm_AreaShape_MajorAxisLength,0.0,localhost240926150001
Cytoplasm_AreaShape_Orientation,0.0,localhost240926150001
Cytoplasm_AreaShape_Zernike_3_1,0.0,localhost240926150001
Cytoplasm_AreaShape_Zernike_4_0,0.0,localhost240926150001
Cytoplasm_AreaShape_Zernike_5_1,-0.15039920529673212,localhost240926150001
Cytoplasm_AreaShape_Zernike_6_0,0.0,localhost240926150001
Cytoplasm_AreaShape_Zernike_6_2,0.0,localhost240926150001
Cytoplasm_AreaShape_Zernike_6_4,0.034233233993927664,localhost240926150001
Cytoplasm_AreaShape_Zernike_7_1,-0.08997965952583781,localhost240926150001
Cytoplasm_AreaShape_Zernike_7_3,0.0,localhost240926150001
Cytoplasm_AreaShape_Zernike_8_0,0.0,localhost240926150001
Cytoplasm_AreaShape_Zernike_8_2,0.0,localhost240926150001
Cytoplasm_AreaShape_Zernike_8_4,0.0,localhost240926150001
Cytoplasm_AreaShape_Zernike_8_6,0.0,localhost240926150001
Cytoplasm_AreaShape_Zernike_9_1,0.0,localhost240926150001
Cytoplasm_AreaShape_Zernike_9_3,0.0,localhost240926150001
Cytoplasm_AreaShape_Zernike_9_5,0.0,localhost240926150001
Cytoplasm_AreaShape_Zernike_9_7,0.0,localhost240926150001
Cytoplasm_Correlation_Correlation_Actin_Hoechst,-0.125961903485162,localhost240926150001
Cytoplasm_Correlation_Correlation_ER_Hoechst,0.0,localhost240926150001
Cytoplasm_Correlation_Correlation_ER_Mitochondria,0.0,localhost240926150001
Cytoplasm_Correlation_Correlation_ER_PM,0.0,localhost240926150001
Cytoplasm_Correlation_Correlation_Hoechst_Mitochondria,-0.007503428999699284,localhost240926150001
Cytoplasm_Correlation_Correlation_Hoechst_PM,0.0,localhost240926150001
Cytoplasm_Correlation_Correlation_Mitochondria_PM,0.0,localhost240926150001
Cytoplasm_Correlation_Costes_Actin_Hoechst,0.1562569820520213,localhost240926150001
Cytoplasm_Correlation_K_ER_PM,0.0,localhost240926150001
