Feature,Coefficient,Model
Cytoplasm_AreaShape_Area,0.0,localhost240927120001
Cytoplasm_AreaShape_BoundingBoxMinimum_X,0.0,localhost240927120001
Cytoplasm_AreaShape_MajorAxisLength,0.0,localhost240927120001
Cytoplasm_AreaShape_MaximumRadius,0.0,localhost240927120001
Cytoplasm_AreaShape_MinFeretDiameter,0.0,localhost240927120001
Cytoplasm_AreaShape_Orientation,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_4_0,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_5_1,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_6_0,-0.005235877959518397,localhost240927120001
Cytoplasm_AreaShape_Zernike_6_2,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_6_4,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_7_1,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_7_3,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_8_0,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_8_2,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_8_6,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_8_8,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_9_1,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_9_3,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_9_5,0.0,localhost240927120001
Cytoplasm_AreaShape_Zernike_9_7,0.0,localhost240927120001
Cytoplasm_Correlation_Correlation_ER_Hoechst,0.0,localhost240927120001
Cytoplasm_Correlation_Correlation_ER_Mitochondria,0.0,localhost240927120001
Cytoplasm_Correlation_Correlation_ER_PM,0.0,localhost240927120001
Cytoplasm_Correlation_Correlation_Hoechst_Mitochondria,0.0,localhost240927120001
Cytoplasm_Correlation_Correlation_Hoechst_PM,0.0,localhost240927120001
Cytoplasm_Correlation_Correlation_Mitochondria_PM,0.0,localhost240927120001
Cytoplasm_Correlation_Costes_Actin_Hoechst,0.08357380170242762,localhost240927120001
Cytoplasm_Correlation_K_Hoechst_PM,0.0,localhost240927120001
Cytoplasm_Correlation_K_PM_ER,0.0,localhost240927120001
Cytoplasm_Correlation_K_PM_Hoechst,0.0,localhost240927120001
Cytoplasm_Correlation_Manders_Actin_ER,0.0,localhost240927120001
Cytoplasm_Correlation_Manders_Actin_Hoechst,0.0,localhost240927120001
Cytoplasm_Correlation_Manders_Hoechst_Actin,0.0,localhost240927120001
Cytoplasm_Correlation_Manders_Hoechst_ER,0.0,localhost240927120001
Cytoplasm_Correlation_Manders_Hoechst_Mitochondria,0.0,localhost240927120001
Cytoplasm_Correlation_Manders_Mitochondria_Hoechst,0.0,localhost240927120001
Cytoplasm_Correlation_Overlap_ER_Mitochondria,0.0,localhost240927120001
Cytoplasm_Correlation_Overlap_ER_PM,0.0,localhost240927120001
Cytoplasm_Correlation_Overlap_Hoechst_PM,0.0,localhost240927120001
Cytoplasm_Correlation_Overlap_Mitochondria_PM,0.0,localhost240927120001
Cytoplasm_Correlation_RWC_Actin_Mitochondria,0.0,localhost240927120001
Cytoplasm_Correlation_RWC_Actin_PM,0.0,localhost240927120001
Cytoplasm_Correlation_RWC_ER_Mitochondria,0.0,localhost240927120001
Cytoplasm_Correlation_RWC_ER_PM,0.0,localhost240927120001
Cytoplasm_Correlation_RWC_Hoechst_PM,0.0,localhost240927120001
Cytoplasm_Correlation_RWC_Mitochondria_ER,0.0,localhost240927120001
Cytoplasm_Correlation_RWC_Mitochondria_PM,0.0,localhost240927120001
Cytoplasm_Correlation_RWC_PM_ER,0.0,localhost240927120001
Cytoplasm_Correlation_RWC_PM_Hoechst,0.0,localhost240927120001
Cytoplasm_Correlation_RWC_PM_Mitochondria,0.0,localhost240927120001
Cytoplasm_Granularity_1_Hoechst,0.0,localhost240927120001
Cytoplasm_Granularity_1_Mitochondria,0.0,localhost240927120001
Cytoplasm_Granularity_1_PM,0.0,localhost240927120001
Cytoplasm_Granularity_2_Actin,0.1583652906178363,localhost240927120001
Cytoplasm_Granularity_2_ER,-0.0011824777288354528,localhost240927120001
Cytoplasm_Granularity_2_Hoechst,0.0,localhost240927120001
Cytoplasm_Granularity_2_Mitochondria,0.0,localhost240927120001
Cytoplasm_Granularity_2_PM,0.0,localhost240927120001
Cytoplasm_Granularity_3_ER,0.0,localhost240927120001
Cytoplasm_Intensity_IntegratedIntensity_ER,0.0,localhost240927120001
Cytoplasm_Intensity_IntegratedIntensity_Mitochondria,0.0,localhost240927120001
Cytoplasm_Intensity_IntegratedIntensity_PM,0.0,localhost240927120001
Cytoplasm_Intensity_LowerQuartileIntensity_Actin,0.3511588297350472,localhost240927120001
Cytoplasm_Intensity_LowerQuartileIntensity_ER,0.0,localhost240927120001
Cytoplasm_Intensity_LowerQuartileIntensity_Hoechst,0.0,localhost240927120001
Cytoplasm_Intensity_LowerQuartileIntensity_Mitochondria,0.0,localhost240927120001
Cytoplasm_Intensity_LowerQuartileIntensity_PM,0.0,localhost240927120001
Cytoplasm_Intensity_MADIntensity_Hoechst,0.0,localhost240927120001
Cytoplasm_Intensity_MADIntensity_PM,0.0,localhost240927120001
Cytoplasm_Intensity_MassDisplacement_Actin,0.0,localhost240927120001
Cytoplasm_Intensity_MassDisplacement_ER,0.0,localhost240927120001
Cytoplasm_Intensity_MassDisplacement_Hoechst,0.0,localhost240927120001
Cytoplasm_Intensity_MassDisplacement_Mitochondria,0.0,localhost240927120001
