WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment,Pathway
B,2,B02,7,healthy,,DMSO,
B,3,B03,25,failing,dilated_cardiomyopathy,UCD-0159253,Epigenetics
B,4,B04,25,failing,dilated_cardiomyopathy,UCD-0159596,Cytoskeletal Signaling
B,5,B05,7,healthy,,DMSO,
B,6,B06,25,failing,dilated_cardiomyopathy,UCD-0159528,Transmembrane Transporters
B,7,B07,25,failing,dilated_cardiomyopathy,UCD-0159536,JAK/STAT
B,8,B08,7,healthy,,DMSO,
B,9,B09,25,failing,dilated_cardiomyopathy,UCD-0159544,Angiogenesis
B,10,B10,25,failing,dilated_cardiomyopathy,UCD-0159551,Epigenetics
B,11,B11,7,healthy,,DMSO,
C,2,C02,25,failing,dilated_cardiomyopathy,UCD-0159559,DNA Damage
C,3,C03,25,failing,dilated_cardiomyopathy,UCD-0159567,Others
C,4,C04,25,failing,dilated_cardiomyopathy,UCD-0159575,Autophagy
C,5,C05,25,failing,dilated_cardiomyopathy,UCD-0159583,MAPK
C,6,C06,25,failing,dilated_cardiomyopathy,UCD-0159590,Others
C,7,C07,25,failing,dilated_cardiomyopathy,UCD-0159597,Epigenetics
C,8,C08,25,failing,dilated_cardiomyopathy,UCD-0159598,Endocrinology & Hormones
C,9,C09,25,failing,dilated_cardiomyopathy,UCD-0159605,PI3K/Akt/mTOR
C,10,C10,25,failing,dilated_cardiomyopathy,UCD-0159612,Cell Cycle
C,11,C11,25,failing,dilated_cardiomyopathy,UCD-0159620,DNA Damage
D,2,D02,25,failing,dilated_cardiomyopathy,UCD-0159628,GPCR & G Protein
D,3,D03,25,failing,dilated_cardiomyopathy,UCD-0159636,Protein Tyrosine Kinase
D,4,D04,25,failing,dilated_cardiomyopathy,UCD-0159644,Transmembrane Transporters
D,5,D05,25,failing,dilated_cardiomyopathy,UCD-0159650,MAPK
D,6,D06,25,failing,dilated_cardiomyopathy,UCD-0159658,Autophagy
D,7,D07,25,failing,dilated_cardiomyopathy,UCD-0159599,MAPK
D,8,D08,25,failing,dilated_cardiomyopathy,UCD-0159606,Autophagy
D,9,D09,25,failing,dilated_cardiomyopathy,UCD-0159613,PI3K/Akt/mTOR
D,10,D10,25,failing,dilated_cardiomyopathy,UCD-0159621,PI3K/Akt/mTOR
D,11,D11,25,failing,dilated_cardiomyopathy,UCD-0159629,Angiogenesis
E,2,E02,25,failing,dilated_cardiomyopathy,DMSO,
E,3,E03,25,failing,dilated_cardiomyopathy,UCD-0159637,Others
E,4,E04,25,failing,dilated_cardiomyopathy,UCD-0159645,Transmembrane Transporters
E,5,E05,25,failing,dilated_cardiomyopathy,DMSO,
E,6,E06,25,failing,dilated_cardiomyopathy,UCD-0159651,Angiogenesis
E,7,E07,25,failing,dilated_cardiomyopathy,UCD-0159659,Metabolism
E,8,E08,25,failing,dilated_cardiomyopathy,DMSO,
E,9,E09,25,failing,dilated_cardiomyopathy,UCD-0159666,Cytoskeletal Signaling
E,10,E10,25,failing,dilated_cardiomyopathy,UCD-0159607,Metabolism
E,11,E11,25,failing,dilated_cardiomyopathy,DMSO,
F,2,F02,25,failing,dilated_cardiomyopathy,UCD-0159614,Metabolism
F,3,F03,25,failing,dilated_cardiomyopathy,UCD-0159622,JAK/STAT
F,4,F04,25,failing,dilated_cardiomyopathy,UCD-0159630,Transmembrane Transporters
F,5,F05,25,failing,dilated_cardiomyopathy,UCD-0159638,Apoptosis
F,6,F06,25,failing,dilated_cardiomyopathy,UCD-0159646,GPCR & G Protein
F,7,F07,25,failing,dilated_cardiomyopathy,UCD-0159652,Proteases
F,8,F08,25,failing,dilated_cardiomyopathy,UCD-0159660,Epigenetics
F,9,F09,25,failing,dilated_cardiomyopathy,UCD-0159600,Epigenetics
F,10,F10,25,failing,dilated_cardiomyopathy,UCD-0001957,Epigenetics
F,11,F11,25,failing,dilated_cardiomyopathy,UCD-0159615,Angiogenesis
G,2,G02,25,failing,dilated_cardiomyopathy,UCD-0159623,DNA Damage
G,3,G03,25,failing,dilated_cardiomyopathy,UCD-0159631,Cell Cycle
G,4,G04,25,failing,dilated_cardiomyopathy,UCD-0159639,Protein Tyrosine Kinase
G,5,G05,25,failing,dilated_cardiomyopathy,UCD-0159647,GPCR & G Protein
G,6,G06,25,failing,dilated_cardiomyopathy,UCD-0159653,Protein Tyrosine Kinase
G,7,G07,25,failing,dilated_cardiomyopathy,UCD-0159661,Transmembrane Transporters
G,8,G08,25,failing,dilated_cardiomyopathy,UCD-0159601,Protein Tyrosine Kinase
G,9,G09,25,failing,dilated_cardiomyopathy,UCD-0159608,Metabolism
G,10,G10,25,failing,dilated_cardiomyopathy,UCD-0159616,GPCR & G Protein
G,11,G11,25,failing,dilated_cardiomyopathy,UCD-0159624,GPCR & G Protein
