WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment,UCD ID,Well,Pathway
B,2,B02,7,healthy,,DMSO,DMSO,B02,
B,3,B03,19,failing,dilated_cardiomyopathy,UCD-0159569,UCD-0159569,B03,Protein Tyrosine Kinase
B,4,B04,19,failing,dilated_cardiomyopathy,UCD-0159577,UCD-0159577,B04,Cell Cycle
B,5,B05,7,healthy,,DMSO,DMSO,B05,
B,6,B06,19,failing,dilated_cardiomyopathy,UCD-0159585,UCD-0159585,B06,Protein Tyrosine Kinase
B,7,B07,19,failing,dilated_cardiomyopathy,UCD-0159592,UCD-0159592,B07,Epigenetics
B,8,B08,7,healthy,,DMSO,DMSO,B08,
B,9,B09,19,failing,dilated_cardiomyopathy,UCD-0159524,UCD-0159524,B09,Others
B,10,B10,19,failing,dilated_cardiomyopathy,UCD-0159531,UCD-0159531,B10,Metabolism
B,11,B11,7,healthy,,DMSO,DMSO,B11,
C,2,C02,19,failing,dilated_cardiomyopathy,UCD-0159539,UCD-0159539,C02,Proteases
C,3,C03,19,failing,dilated_cardiomyopathy,UCD-0159547,UCD-0159547,C03,Apoptosis
C,4,C04,19,failing,dilated_cardiomyopathy,UCD-0159554,UCD-0159554,C04,Angiogenesis
C,5,C05,19,failing,dilated_cardiomyopathy,UCD-0159562,UCD-0159562,C05,Epigenetics
C,6,C06,19,failing,dilated_cardiomyopathy,UCD-0159570,UCD-0159570,C06,GPCR & G Protein
C,7,C07,19,failing,dilated_cardiomyopathy,UCD-0159578,UCD-0159578,C07,PI3K/Akt/mTOR
C,8,C08,19,failing,dilated_cardiomyopathy,UCD-0159586,UCD-0159586,C08,Angiogenesis
C,9,C09,19,failing,dilated_cardiomyopathy,UCD-0159593,UCD-0159593,C09,Epigenetics
C,10,C10,19,failing,dilated_cardiomyopathy,UCD-0159525,UCD-0159525,C10,Others
C,11,C11,19,failing,dilated_cardiomyopathy,UCD-0159532,UCD-0159532,C11,PI3K/Akt/mTOR
D,2,D02,19,failing,dilated_cardiomyopathy,UCD-0159540,UCD-0159540,D02,Others
D,3,D03,19,failing,dilated_cardiomyopathy,UCD-0159548,UCD-0159548,D03,Others
D,4,D04,19,failing,dilated_cardiomyopathy,UCD-0159555,UCD-0159555,D04,Cytoskeletal Signaling
D,5,D05,19,failing,dilated_cardiomyopathy,UCD-0159563,UCD-0159563,D05,Angiogenesis
D,6,D06,19,failing,dilated_cardiomyopathy,UCD-0159571,UCD-0159571,D06,Others
D,7,D07,19,failing,dilated_cardiomyopathy,UCD-0159579,UCD-0159579,D07,PI3K/Akt/mTOR
D,8,D08,19,failing,dilated_cardiomyopathy,UCD-0159587,UCD-0159587,D08,Angiogenesis
D,9,D09,19,failing,dilated_cardiomyopathy,UCD-0159594,UCD-0159594,D09,Others
D,10,D10,19,failing,dilated_cardiomyopathy,UCD-0159526,UCD-0159526,D10,DNA Damage
