WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment,Pathway
B,2,B02,7,healthy,,DMSO,
B,3,B03,25,failing,dilated_cardiomyopathy,UCD-0001078,Metabolism
B,4,B04,25,failing,dilated_cardiomyopathy,UCD-0000972,Neuronal Signaling
B,5,B05,7,healthy,,DMSO,
B,6,B06,25,failing,dilated_cardiomyopathy,UCD-0159326,Neuronal Signaling
B,7,B07,25,failing,dilated_cardiomyopathy,UCD-0159331,Transmembrane Transporters
B,8,B08,7,healthy,,DMSO,
B,9,B09,25,failing,dilated_cardiomyopathy,UCD-0159332,Apoptosis
B,10,B10,25,failing,dilated_cardiomyopathy,UCD-0000936,Neuronal Signaling
B,11,B11,7,healthy,,DMSO,
C,2,C02,25,failing,dilated_cardiomyopathy,UCD-0001886,Cell Cycle
C,3,C03,25,failing,dilated_cardiomyopathy,UCD-0159344,Endocrinology & Hormones
C,4,C04,25,failing,dilated_cardiomyopathy,UCD-0159350,Neuronal Signaling
C,5,C05,25,failing,dilated_cardiomyopathy,UCD-0159355,PI3K/Akt/mTOR
C,6,C06,25,failing,dilated_cardiomyopathy,UCD-0159361,Others
C,7,C07,25,failing,dilated_cardiomyopathy,UCD-0159368,Angiogenesis
C,8,C08,25,failing,dilated_cardiomyopathy,UCD-0159375,NF-κB
C,9,C09,25,failing,dilated_cardiomyopathy,UCD-0159383,NF-κB
C,10,C10,25,failing,dilated_cardiomyopathy,UCD-0159333,Transmembrane Transporters
C,11,C11,25,failing,dilated_cardiomyopathy,UCD-0001616,Metabolism
D,2,D02,25,failing,dilated_cardiomyopathy,UCD-0159339,Neuronal Signaling
D,3,D03,25,failing,dilated_cardiomyopathy,UCD-0159345,Neuronal Signaling
D,4,D04,25,failing,dilated_cardiomyopathy,UCD-0159351,Others
D,5,D05,25,failing,dilated_cardiomyopathy,UCD-0001790B,Protein Tyrosine Kinase
D,6,D06,25,failing,dilated_cardiomyopathy,UCD-0159362,Stem Cells & Wnt
D,7,D07,25,failing,dilated_cardiomyopathy,UCD-0159369,Epigenetics
D,8,D08,25,failing,dilated_cardiomyopathy,UCD-0159376,Transmembrane Transporters
D,9,D09,25,failing,dilated_cardiomyopathy,UCD-0159384,NF-κB
D,10,D10,25,failing,dilated_cardiomyopathy,UCD-0159334,Metabolism
D,11,D11,25,failing,dilated_cardiomyopathy,UCD-0159338,Neuronal Signaling
E,2,E02,25,failing,dilated_cardiomyopathy,DMSO,
E,3,E03,25,failing,dilated_cardiomyopathy,UCD-0159340,Others
E,4,E04,25,failing,dilated_cardiomyopathy,UCD-0159346,Stem Cells & Wnt
E,5,E05,25,failing,dilated_cardiomyopathy,DMSO,
E,6,E06,25,failing,dilated_cardiomyopathy,UCD-0001900,PI3K/Akt/mTOR
E,7,E07,25,failing,dilated_cardiomyopathy,UCD-0159356,Cytoskeletal Signaling
E,8,E08,25,failing,dilated_cardiomyopathy,DMSO,
E,9,E09,25,failing,dilated_cardiomyopathy,UCD-0159363,Others
E,10,E10,25,failing,dilated_cardiomyopathy,UCD-0018540,MAPK
E,11,E11,25,failing,dilated_cardiomyopathy,DMSO,
F,2,F02,25,failing,dilated_cardiomyopathy,UCD-0159377,Metabolism
F,3,F03,25,failing,dilated_cardiomyopathy,UCD-0159385,Metabolism
F,4,F04,25,failing,dilated_cardiomyopathy,UCD-0000684,Others
F,5,F05,25,failing,dilated_cardiomyopathy,UCD-0001186,Neuronal Signaling
F,6,F06,25,failing,dilated_cardiomyopathy,UCD-0159341,Metabolism
F,7,F07,25,failing,dilated_cardiomyopathy,UCD-0159347,Metabolism
F,8,F08,25,failing,dilated_cardiomyopathy,UCD-0001861,Angiogenesis
F,9,F09,25,failing,dilated_cardiomyopathy,UCD-0159357,Apoptosis
F,10,F10,25,failing,dilated_cardiomyopathy,UCD-0011696,JAK/STAT
F,11,F11,25,failing,dilated_cardiomyopathy,UCD-0159370,PI3K/Akt/mTOR
G,2,G02,25,failing,dilated_cardiomyopathy,UCD-0159378,Protein Tyrosine Kinase
G,3,G03,25,failing,dilated_cardiomyopathy,UCD-0159386,DNA Damage
G,4,G04,25,failing,dilated_cardiomyopathy,UCD-0159335,JAK/STAT
G,5,G05,25,failing,dilated_cardiomyopathy,UCD-0018448,GPCR & G Protein
G,6,G06,25,failing,dilated_cardiomyopathy,UCD-0159342,Others
G,7,G07,25,failing,dilated_cardiomyopathy,UCD-0001885,PI3K/Akt/mTOR
G,8,G08,25,failing,dilated_cardiomyopathy,UCD-0159352,Proteases
G,9,G09,25,failing,dilated_cardiomyopathy,UCD-0159358,Metabolism
G,10,G10,25,failing,dilated_cardiomyopathy,UCD-0159364,Others
G,11,G11,25,failing,dilated_cardiomyopathy,UCD-0159371,Apoptosis
