WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment,UCD ID,Well,Pathway
B,2,B02,7,healthy,,DMSO,DMSO,B02,
B,3,B03,19,failing,dilated_cardiomyopathy,UCD-0159253,UCD-0159253,B03,Epigenetics
B,4,B04,19,failing,dilated_cardiomyopathy,UCD-0159596,UCD-0159596,B04,Cytoskeletal Signaling
B,5,B05,7,healthy,,DMSO,DMSO,B05,
B,6,B06,19,failing,dilated_cardiomyopathy,UCD-0159528,UCD-0159528,B06,Transmembrane Transporters
B,7,B07,19,failing,dilated_cardiomyopathy,UCD-0159536,UCD-0159536,B07,JAK/STAT
B,8,B08,7,healthy,,DMSO,DMSO,B08,
B,9,B09,19,failing,dilated_cardiomyopathy,UCD-0159544,UCD-0159544,B09,Angiogenesis
B,10,B10,19,failing,dilated_cardiomyopathy,UCD-0159551,UCD-0159551,B10,Epigenetics
B,11,B11,7,healthy,,DMSO,DMSO,B11,
C,2,C02,19,failing,dilated_cardiomyopathy,UCD-0159559,UCD-0159559,C02,DNA Damage
C,3,C03,19,failing,dilated_cardiomyopathy,UCD-0159567,UCD-0159567,C03,Others
C,4,C04,19,failing,dilated_cardiomyopathy,UCD-0159575,UCD-0159575,C04,Autophagy
C,5,C05,19,failing,dilated_cardiomyopathy,UCD-0159583,UCD-0159583,C05,MAPK
C,6,C06,19,failing,dilated_cardiomyopathy,UCD-0159590,UCD-0159590,C06,Others
C,7,C07,19,failing,dilated_cardiomyopathy,UCD-0159597,UCD-0159597,C07,Epigenetics
C,8,C08,19,failing,dilated_cardiomyopathy,UCD-0159598,UCD-0159598,C08,Endocrinology & Hormones
C,9,C09,19,failing,dilated_cardiomyopathy,UCD-0159605,UCD-0159605,C09,PI3K/Akt/mTOR
C,10,C10,19,failing,dilated_cardiomyopathy,UCD-0159612,UCD-0159612,C10,Cell Cycle
C,11,C11,19,failing,dilated_cardiomyopathy,UCD-0159620,UCD-0159620,C11,DNA Damage
D,2,D02,19,failing,dilated_cardiomyopathy,UCD-0159628,UCD-0159628,D02,GPCR & G Protein
