WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment,Pathway
B,2,B02,7,healthy,,DMSO,
B,3,B03,25,failing,dilated_cardiomyopathy,UCD-0000253,Neuronal Signaling
B,4,B04,25,failing,dilated_cardiomyopathy,UCD-0000872,Metabolism
B,5,B05,7,healthy,,DMSO,
B,6,B06,25,failing,dilated_cardiomyopathy,UCD-0159319,Neuronal Signaling
B,7,B07,25,failing,dilated_cardiomyopathy,UCD-0000730,Metabolism
B,8,B08,7,healthy,,DMSO,
B,9,B09,25,failing,dilated_cardiomyopathy,UCD-0018569,Endocrinology & Hormones
B,10,B10,25,failing,dilated_cardiomyopathy,UCD-0159328,Proteases
B,11,B11,7,healthy,,DMSO,
C,2,C02,25,failing,dilated_cardiomyopathy,UCD-0159298,Cytoskeletal Signaling
C,3,C03,25,failing,dilated_cardiomyopathy,UCD-0159304,Cell Cycle
C,4,C04,25,failing,dilated_cardiomyopathy,UCD-0159308,Protein Tyrosine Kinase
C,5,C05,25,failing,dilated_cardiomyopathy,UCD-0018012,Apoptosis
C,6,C06,25,failing,dilated_cardiomyopathy,UCD-0001162,Endocrinology & Hormones
C,7,C07,25,failing,dilated_cardiomyopathy,UCD-0001305,Neuronal Signaling
C,8,C08,25,failing,dilated_cardiomyopathy,UCD-0018311,Neuronal Signaling
C,9,C09,25,failing,dilated_cardiomyopathy,UCD-0001441,Neuronal Signaling
C,10,C10,25,failing,dilated_cardiomyopathy,UCD-0159322,Endocrinology & Hormones
C,11,C11,25,failing,dilated_cardiomyopathy,UCD-0001784,Cell Cycle
D,2,D02,25,failing,dilated_cardiomyopathy,UCD-0159299,Metabolism
D,3,D03,25,failing,dilated_cardiomyopathy,UCD-0159305,Transmembrane Transporters
D,4,D04,25,failing,dilated_cardiomyopathy,UCD-0159309,Angiogenesis
D,5,D05,25,failing,dilated_cardiomyopathy,UCD-0001843,DNA Damage
D,6,D06,25,failing,dilated_cardiomyopathy,UCD-0000490,Neuronal Signaling
D,7,D07,25,failing,dilated_cardiomyopathy,UCD-0018439,Microbiology
D,8,D08,25,failing,dilated_cardiomyopathy,UCD-0001435,Others
D,9,D09,25,failing,dilated_cardiomyopathy,UCD-0018550,Neuronal Signaling
D,10,D10,25,failing,dilated_cardiomyopathy,UCD-0159323,Stem Cells & Wnt
D,11,D11,25,failing,dilated_cardiomyopathy,UCD-0159329,JAK/STAT
E,2,E02,25,failing,dilated_cardiomyopathy,DMSO,
E,3,E03,25,failing,dilated_cardiomyopathy,UCD-0159300,GPCR & G Protein
E,4,E04,25,failing,dilated_cardiomyopathy,UCD-0001790,Cell Cycle
E,5,E05,25,failing,dilated_cardiomyopathy,DMSO,
E,6,E06,25,failing,dilated_cardiomyopathy,UCD-0013217,Epigenetics
E,7,E07,25,failing,dilated_cardiomyopathy,UCD-0159313,Protein Tyrosine Kinase
E,8,E08,25,failing,dilated_cardiomyopathy,DMSO,
E,9,E09,25,failing,dilated_cardiomyopathy,UCD-0018240,PI3K/Akt/mTOR
E,10,E10,25,failing,dilated_cardiomyopathy,UCD-0018483,Microbiology
E,11,E11,25,failing,dilated_cardiomyopathy,DMSO,
F,2,F02,25,failing,dilated_cardiomyopathy,UCD-0000101,Endocrinology & Hormones
F,3,F03,25,failing,dilated_cardiomyopathy,UCD-0159320,Metabolism
F,4,F04,25,failing,dilated_cardiomyopathy,UCD-0159324,Angiogenesis
F,5,F05,25,failing,dilated_cardiomyopathy,UCD-0001869,Protein Tyrosine Kinase
F,6,F06,25,failing,dilated_cardiomyopathy,UCD-0001818,MAPK
F,7,F07,25,failing,dilated_cardiomyopathy,UCD-0018051,Metabolism
F,8,F08,25,failing,dilated_cardiomyopathy,UCD-0159310,GPCR & G Protein
F,9,F09,25,failing,dilated_cardiomyopathy,UCD-0159314,PI3K/Akt/mTOR
F,10,F10,25,failing,dilated_cardiomyopathy,UCD-0000083,Neuronal Signaling
F,11,F11,25,failing,dilated_cardiomyopathy,UCD-0018527,Microbiology
G,2,G02,25,failing,dilated_cardiomyopathy,UCD-0000469,Neuronal Signaling
G,3,G03,25,failing,dilated_cardiomyopathy,UCD-0159321,Neuronal Signaling
G,4,G04,25,failing,dilated_cardiomyopathy,UCD-0159325,PI3K/Akt/mTOR
G,5,G05,25,failing,dilated_cardiomyopathy,UCD-0159330,Protein Tyrosine Kinase
G,6,G06,25,failing,dilated_cardiomyopathy,UCD-0159301,Cell Cycle
G,7,G07,25,failing,dilated_cardiomyopathy,UCD-0159306,Cell Cycle
G,8,G08,25,failing,dilated_cardiomyopathy,UCD-0159311,GPCR & G Protein
G,9,G09,25,failing,dilated_cardiomyopathy,UCD-0159315,PI3K/Akt/mTOR
G,10,G10,25,failing,dilated_cardiomyopathy,UCD-0000576,Neuronal Signaling
G,11,G11,25,failing,dilated_cardiomyopathy,UCD-0000324,Metabolism
