WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment,UCD ID,Well,Pathway
B,2,B02,7,healthy,,DMSO,DMSO,B02,
B,3,B03,19,failing,dilated_cardiomyopathy,UCD-0000253,UCD-0000253,B03,Neuronal Signaling
B,4,B04,19,failing,dilated_cardiomyopathy,UCD-0000872,UCD-0000872,B04,Metabolism
B,5,B05,7,healthy,,DMSO,DMSO,B05,
B,6,B06,19,failing,dilated_cardiomyopathy,UCD-0159319,UCD-0159319,B06,Neuronal Signaling
B,7,B07,19,failing,dilated_cardiomyopathy,UCD-0000730,UCD-0000730,B07,Metabolism
B,8,B08,7,healthy,,DMSO,DMSO,B08,
B,9,B09,19,failing,dilated_cardiomyopathy,UCD-0018569,UCD-0018569,B09,Endocrinology & Hormones
B,10,B10,19,failing,dilated_cardiomyopathy,UCD-0159328,UCD-0159328,B10,Proteases
B,11,B11,7,healthy,,DMSO,DMSO,B11,
C,2,C02,19,failing,dilated_cardiomyopathy,UCD-0159298,UCD-0159298,C02,Cytoskeletal Signaling
C,3,C03,19,failing,dilated_cardiomyopathy,UCD-0159304,UCD-0159304,C03,Cell Cycle
C,4,C04,19,failing,dilated_cardiomyopathy,UCD-0159308,UCD-0159308,C04,Protein Tyrosine Kinase
C,5,C05,19,failing,dilated_cardiomyopathy,UCD-0018012,UCD-0018012,C05,Apoptosis
C,6,C06,19,failing,dilated_cardiomyopathy,UCD-0001162,UCD-0001162,C06,Endocrinology & Hormones
C,7,C07,19,failing,dilated_cardiomyopathy,UCD-0001305,UCD-0001305,C07,Neuronal Signaling
C,8,C08,19,failing,dilated_cardiomyopathy,UCD-0018311,UCD-0018311,C08,Neuronal Signaling
C,9,C09,19,failing,dilated_cardiomyopathy,UCD-0001441,UCD-0001441,C09,Neuronal Signaling
C,10,C10,19,failing,dilated_cardiomyopathy,UCD-0159322,UCD-0159322,C10,Endocrinology & Hormones
C,11,C11,19,failing,dilated_cardiomyopathy,UCD-0001784,UCD-0001784,C11,Cell Cycle
D,2,D02,19,failing,dilated_cardiomyopathy,UCD-0159299,UCD-0159299,D02,Metabolism
D,3,D03,19,failing,dilated_cardiomyopathy,UCD-0159305,UCD-0159305,D03,Transmembrane Transporters
D,4,D04,19,failing,dilated_cardiomyopathy,UCD-0159309,UCD-0159309,D04,Angiogenesis
D,5,D05,19,failing,dilated_cardiomyopathy,UCD-0001843,UCD-0001843,D05,DNA Damage
D,6,D06,19,failing,dilated_cardiomyopathy,UCD-0000490,UCD-0000490,D06,Neuronal Signaling
D,7,D07,19,failing,dilated_cardiomyopathy,UCD-0018439,UCD-0018439,D07,Microbiology
D,8,D08,19,failing,dilated_cardiomyopathy,UCD-0001435,UCD-0001435,D08,Others
D,9,D09,19,failing,dilated_cardiomyopathy,UCD-0018550,UCD-0018550,D09,Neuronal Signaling
