WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment
A,1,A01,7,Healthy,NA,DMSO
A,2,A02,19,Failing,Dilated_Cardiomyopathy,UCD-0018083
A,3,A03,19,Failing,Dilated_Cardiomyopathy,UCD-0001822
A,4,A04,19,Failing,Dilated_Cardiomyopathy,UCD-0001759
A,5,A05,19,Failing,Dilated_Cardiomyopathy,UCD-0000533
A,6,A06,19,Failing,Dilated_Cardiomyopathy,UCD-0000295
A,7,A07,19,Failing,Dilated_Cardiomyopathy,UCD-0001580
A,8,A08,19,Failing,Dilated_Cardiomyopathy,UCD-0159317
A,9,A09,19,Failing,Dilated_Cardiomyopathy,UCD-0018516
A,10,A10,19,Failing,Dilated_Cardiomyopathy,UCD-0018304
A,11,A11,19,Failing,Dilated_Cardiomyopathy,UCD-0159327
A,12,A12,19,Failing,Dilated_Cardiomyopathy,DMSO
B,1,B01,7,Healthy,NA,DMSO
B,2,B02,19,Failing,Dilated_Cardiomyopathy,UCD-0159296
B,3,B03,19,Failing,Dilated_Cardiomyopathy,UCD-0159302
B,4,B04,19,Failing,Dilated_Cardiomyopathy,UCD-0001793
B,5,B05,19,Failing,Dilated_Cardiomyopathy,UCD-0000757
B,6,B06,19,Failing,Dilated_Cardiomyopathy,UCD-0159316
B,7,B07,19,Failing,Dilated_Cardiomyopathy,UCD-0000878
B,8,B08,19,Failing,Dilated_Cardiomyopathy,UCD-0159318
B,9,B09,19,Failing,Dilated_Cardiomyopathy,UCD-0001616B
B,10,B10,19,Failing,Dilated_Cardiomyopathy,UCD-0001463
B,11,B11,19,Failing,Dilated_Cardiomyopathy,UCD-0001847
B,12,B12,19,Failing,Dilated_Cardiomyopathy,DMSO
C,1,C01,7,Healthy,NA,DMSO
C,2,C02,19,Failing,Dilated_Cardiomyopathy,UCD-0159297
C,3,C03,19,Failing,Dilated_Cardiomyopathy,UCD-0159303
C,4,C04,19,Failing,Dilated_Cardiomyopathy,UCD-0159307
C,5,C05,19,Failing,Dilated_Cardiomyopathy,UCD-0159312
C,6,C06,19,Failing,Dilated_Cardiomyopathy,UCD-0000253
C,7,C07,19,Failing,Dilated_Cardiomyopathy,UCD-0000872
C,8,C08,19,Failing,Dilated_Cardiomyopathy,UCD-0159319
C,9,C09,19,Failing,Dilated_Cardiomyopathy,UCD-0000730
C,10,C10,19,Failing,Dilated_Cardiomyopathy,UCD-0018569
C,11,C11,19,Failing,Dilated_Cardiomyopathy,UCD-0159328
C,12,C12,19,Failing,Dilated_Cardiomyopathy,DMSO
D,1,D01,7,Healthy,NA,DMSO
D,2,D02,19,Failing,Dilated_Cardiomyopathy,UCD-0159298
D,3,D03,19,Failing,Dilated_Cardiomyopathy,UCD-0159304
D,4,D04,19,Failing,Dilated_Cardiomyopathy,UCD-0159308
D,5,D05,19,Failing,Dilated_Cardiomyopathy,UCD-0018012
D,6,D06,19,Failing,Dilated_Cardiomyopathy,UCD-0001162
D,7,D07,19,Failing,Dilated_Cardiomyopathy,UCD-0001305
D,8,D08,19,Failing,Dilated_Cardiomyopathy,UCD-0018311
D,9,D09,19,Failing,Dilated_Cardiomyopathy,UCD-0001441
D,10,D10,19,Failing,Dilated_Cardiomyopathy,UCD-0159322
D,11,D11,19,Failing,Dilated_Cardiomyopathy,UCD-0001784
D,12,D12,19,Failing,Dilated_Cardiomyopathy,DMSO
E,1,E01,7,Healthy,NA,DMSO
E,2,E02,19,Failing,Dilated_Cardiomyopathy,UCD-0159299
E,3,E03,19,Failing,Dilated_Cardiomyopathy,UCD-0159305
E,4,E04,19,Failing,Dilated_Cardiomyopathy,UCD-0159309
E,5,E05,19,Failing,Dilated_Cardiomyopathy,UCD-0001843
E,6,E06,19,Failing,Dilated_Cardiomyopathy,UCD-0000490
E,7,E07,19,Failing,Dilated_Cardiomyopathy,UCD-0018439
E,8,E08,19,Failing,Dilated_Cardiomyopathy,UCD-0001435
E,9,E09,19,Failing,Dilated_Cardiomyopathy,UCD-0018550
E,10,E10,19,Failing,Dilated_Cardiomyopathy,UCD-0159323
E,11,E11,19,Failing,Dilated_Cardiomyopathy,UCD-0159329
E,12,E12,19,Failing,Dilated_Cardiomyopathy,DMSO
F,1,F01,7,Healthy,NA,DMSO
F,2,F02,19,Failing,Dilated_Cardiomyopathy,UCD-0159300
F,3,F03,19,Failing,Dilated_Cardiomyopathy,UCD-0001790
F,4,F04,19,Failing,Dilated_Cardiomyopathy,UCD-0013217
F,5,F05,19,Failing,Dilated_Cardiomyopathy,UCD-0159313
F,6,F06,19,Failing,Dilated_Cardiomyopathy,UCD-0018240
F,7,F07,19,Failing,Dilated_Cardiomyopathy,UCD-0018483
F,8,F08,19,Failing,Dilated_Cardiomyopathy,UCD-0000101
F,9,F09,19,Failing,Dilated_Cardiomyopathy,UCD-0159320
F,10,F10,19,Failing,Dilated_Cardiomyopathy,UCD-0159324
F,11,F11,19,Failing,Dilated_Cardiomyopathy,UCD-0001869
F,12,F12,19,Failing,Dilated_Cardiomyopathy,DMSO
G,1,G01,7,Healthy,NA,DMSO
G,2,G02,19,Failing,Dilated_Cardiomyopathy,UCD-0001818
G,3,G03,19,Failing,Dilated_Cardiomyopathy,UCD-0018051
G,4,G04,19,Failing,Dilated_Cardiomyopathy,UCD-0159310
G,5,G05,19,Failing,Dilated_Cardiomyopathy,UCD-0159314
G,6,G06,19,Failing,Dilated_Cardiomyopathy,UCD-0000083
G,7,G07,19,Failing,Dilated_Cardiomyopathy,UCD-0018527
G,8,G08,19,Failing,Dilated_Cardiomyopathy,UCD-0000469
G,9,G09,19,Failing,Dilated_Cardiomyopathy,UCD-0159321
G,10,G10,19,Failing,Dilated_Cardiomyopathy,UCD-0159325
G,11,G11,19,Failing,Dilated_Cardiomyopathy,UCD-0159330
G,12,G12,19,Failing,Dilated_Cardiomyopathy,DMSO
H,1,H01,7,Healthy,NA,DMSO
H,2,H02,19,Failing,Dilated_Cardiomyopathy,UCD-0159301
H,3,H03,19,Failing,Dilated_Cardiomyopathy,UCD-0159306
H,4,H04,19,Failing,Dilated_Cardiomyopathy,UCD-0159311
H,5,H05,19,Failing,Dilated_Cardiomyopathy,UCD-0159315
H,6,H06,19,Failing,Dilated_Cardiomyopathy,UCD-0000576
H,7,H07,19,Failing,Dilated_Cardiomyopathy,UCD-0000324
H,8,H08,19,Failing,Dilated_Cardiomyopathy,UCD-0001078
H,9,H09,19,Failing,Dilated_Cardiomyopathy,UCD-0000972
H,10,H10,19,Failing,Dilated_Cardiomyopathy,UCD-0159326
H,11,H11,19,Failing,Dilated_Cardiomyopathy,UCD-0159331
H,12,H12,19,Failing,Dilated_Cardiomyopathy,DMSO
