UCD ID,Plate,Well,Cell Type,Pathway
DMSO,Plate_1,B02,healthy,
UCD-0159256,Plate_1,B03,failing,Apoptosis
UCD-0001766,Plate_1,B04,failing,Angiogenesis
DMSO,Plate_1,B05,healthy,
UCD-0159262,Plate_1,B06,failing,Others
UCD-0001915,Plate_1,B07,failing,Others
DMSO,Plate_1,B08,healthy,
UCD-0001783,Plate_1,B09,failing,Others
UCD-0159279,Plate_1,B10,failing,Others
DMSO,Plate_1,B11,healthy,
UCD-0159283,Plate_1,C02,failing,Endocrinology & Hormones
UCD-0001040,Plate_1,C03,failing,Endocrinology & Hormones
UCD-0018091,Plate_1,C04,failing,GPCR & G Protein
UCD-0000450,Plate_1,C05,failing,Neuronal Signaling
UCD-0159257,Plate_1,C06,failing,DNA Damage
UCD-0001810,Plate_1,C07,failing,DNA Damage
UCD-0159263,Plate_1,C08,failing,Others
UCD-0159269,Plate_1,C09,failing,Others
UCD-0159273,Plate_1,C10,failing,Others
UCD-0017907,Plate_1,C11,failing,Others
UCD-0159284,Plate_1,D02,failing,Stem Cells &  Wnt
UCD-0017999,Plate_1,D03,failing,Endocrinology & Hormones
UCD-0000721,Plate_1,D04,failing,Neuronal Signaling
UCD-0001014,Plate_1,D05,failing,Neuronal Signaling
UCD-0001804,Plate_1,D06,failing,MAPK
UCD-0159261,Plate_1,D07,failing,Others
UCD-0159264,Plate_1,D08,failing,Neuronal Signaling
UCD-0001775,Plate_1,D09,failing,Others
UCD-0159274,Plate_1,D10,failing,Others
UCD-0001792,Plate_1,D11,failing,Others
DMSO,Plate_1,E02,failing,
UCD-0159285,Plate_1,E03,failing,DNA Damage
UCD-0159289,Plate_1,E04,failing,Metabolism
DMSO,Plate_1,E05,failing,
UCD-0018179,Plate_1,E06,failing,MAPK
UCD-0001016,Plate_1,E07,failing,Neuronal Signaling
DMSO,Plate_1,E08,failing,
UCD-0159258,Plate_1,E09,failing,Angiogenesis
UCD-0018207,Plate_1,E10,failing,Neuronal Signaling
DMSO,Plate_1,E11,failing,
UCD-0001844,Plate_1,F02,failing,Others
UCD-0159270,Plate_1,F03,failing,Others
UCD-0159275,Plate_1,F04,failing,Others
UCD-0001800,Plate_1,F05,failing,Others
UCD-0001613,Plate_1,F06,failing,Endocrinology & Hormones
UCD-0001921,Plate_1,F07,failing,Epigenetics
UCD-0159290,Plate_1,F08,failing,PI3K/Akt/mTOR
UCD-0159293,Plate_1,F09,failing,Others
UCD-0001808,Plate_1,F10,failing,MAPK
UCD-0001801,Plate_1,F11,failing,Endocrinology & Hormones
UCD-0159265,Plate_1,G02,failing,Neuronal Signaling
UCD-0159271,Plate_1,G03,failing,Others
UCD-0001835,Plate_1,G04,failing,Others
UCD-0159280,Plate_1,G05,failing,Others
UCD-0159286,Plate_1,G06,failing,Others
UCD-0018131,Plate_1,G07,failing,Angiogenesis
UCD-0001024,Plate_1,G08,failing,Neuronal Signaling
UCD-0001829,Plate_1,G09,failing,PI3K/Akt/mTOR
UCD-0159259,Plate_1,G10,failing,PI3K/Akt/mTOR
UCD-0001842,Plate_1,G11,failing,Neuronal Signaling
DMSO,Plate_2,B02,healthy,
UCD-0159266,Plate_2,B03,failing,Others
