WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment
A,1,A01,7,Healthy,NA,DMSO
A,2,A02,19,Failing,Dilated_Cardiomyopathy,UCD-0159522
A,3,A03,19,Failing,Dilated_Cardiomyopathy,UCD-0159529
A,4,A04,19,Failing,Dilated_Cardiomyopathy,UCD-0159537
A,5,A05,19,Failing,Dilated_Cardiomyopathy,UCD-0159545
A,6,A06,19,Failing,Dilated_Cardiomyopathy,UCD-0159552
A,7,A07,19,Failing,Dilated_Cardiomyopathy,UCD-0159560
A,8,A08,19,Failing,Dilated_Cardiomyopathy,UCD-0159568
A,9,A09,19,Failing,Dilated_Cardiomyopathy,UCD-0159576
A,10,A10,19,Failing,Dilated_Cardiomyopathy,UCD-0159584
A,11,A11,19,Failing,Dilated_Cardiomyopathy,UCD-0159591
A,12,A12,19,Failing,Dilated_Cardiomyopathy,DMSO
B,1,B01,7,Healthy,NA,DMSO
B,2,B02,19,Failing,Dilated_Cardiomyopathy,UCD-0159523
B,3,B03,19,Failing,Dilated_Cardiomyopathy,UCD-0159530
B,4,B04,19,Failing,Dilated_Cardiomyopathy,UCD-0159538
B,5,B05,19,Failing,Dilated_Cardiomyopathy,UCD-0159546
B,6,B06,19,Failing,Dilated_Cardiomyopathy,UCD-0159553
B,7,B07,19,Failing,Dilated_Cardiomyopathy,UCD-0159561
B,8,B08,19,Failing,Dilated_Cardiomyopathy,UCD-0159569
B,9,B09,19,Failing,Dilated_Cardiomyopathy,UCD-0159577
B,10,B10,19,Failing,Dilated_Cardiomyopathy,UCD-0159585
B,11,B11,19,Failing,Dilated_Cardiomyopathy,UCD-0159592
B,12,B12,19,Failing,Dilated_Cardiomyopathy,DMSO
C,1,C01,7,Healthy,NA,DMSO
C,2,C02,19,Failing,Dilated_Cardiomyopathy,UCD-0159524
C,3,C03,19,Failing,Dilated_Cardiomyopathy,UCD-0159531
C,4,C04,19,Failing,Dilated_Cardiomyopathy,UCD-0159539
C,5,C05,19,Failing,Dilated_Cardiomyopathy,UCD-0159547
C,6,C06,19,Failing,Dilated_Cardiomyopathy,UCD-0159554
C,7,C07,19,Failing,Dilated_Cardiomyopathy,UCD-0159562
C,8,C08,19,Failing,Dilated_Cardiomyopathy,UCD-0159570
C,9,C09,19,Failing,Dilated_Cardiomyopathy,UCD-0159578
C,10,C10,19,Failing,Dilated_Cardiomyopathy,UCD-0159586
C,11,C11,19,Failing,Dilated_Cardiomyopathy,UCD-0159593
C,12,C12,19,Failing,Dilated_Cardiomyopathy,DMSO
D,1,D01,7,Healthy,NA,DMSO
D,2,D02,19,Failing,Dilated_Cardiomyopathy,UCD-0159525
D,3,D03,19,Failing,Dilated_Cardiomyopathy,UCD-0159532
D,4,D04,19,Failing,Dilated_Cardiomyopathy,UCD-0159540
D,5,D05,19,Failing,Dilated_Cardiomyopathy,UCD-0159548
D,6,D06,19,Failing,Dilated_Cardiomyopathy,UCD-0159555
D,7,D07,19,Failing,Dilated_Cardiomyopathy,UCD-0159563
D,8,D08,19,Failing,Dilated_Cardiomyopathy,UCD-0159571
D,9,D09,19,Failing,Dilated_Cardiomyopathy,UCD-0159579
D,10,D10,19,Failing,Dilated_Cardiomyopathy,UCD-0159587
