WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment
B,2,B02,7,healthy,NA,DMSO
B,3,B03,19,failing,dilated_cardiomyopathy,S2843
B,4,B04,19,failing,dilated_cardiomyopathy,S2876
B,5,B05,7,healthy,NA,DMSO
B,6,B06,19,failing,dilated_cardiomyopathy,S2341
B,7,B07,19,failing,dilated_cardiomyopathy,S2601
B,8,B08,7,healthy,NA,DMSO
B,9,B09,19,failing,dilated_cardiomyopathy,S2633
B,10,B10,19,failing,dilated_cardiomyopathy,S2680
B,11,B11,7,healthy,NA,DMSO
C,2,C02,19,failing,dilated_cardiomyopathy,S2714
C,3,C03,19,failing,dilated_cardiomyopathy,S2757
C,4,C04,19,failing,dilated_cardiomyopathy,S2791
C,5,C05,19,failing,dilated_cardiomyopathy,S2816
C,6,C06,19,failing,dilated_cardiomyopathy,S2854
C,7,C07,19,failing,dilated_cardiomyopathy,S2882
C,8,C08,19,failing,dilated_cardiomyopathy,S2437
C,9,C09,19,failing,dilated_cardiomyopathy,S2603
C,10,C10,19,failing,dilated_cardiomyopathy,S2634
C,11,C11,19,failing,dilated_cardiomyopathy,S2683
D,2,D02,19,failing,dilated_cardiomyopathy,S2717
D,3,D03,19,failing,dilated_cardiomyopathy,S2760
D,4,D04,19,failing,dilated_cardiomyopathy,S2792
D,5,D05,19,failing,dilated_cardiomyopathy,S2820
D,6,D06,19,failing,dilated_cardiomyopathy,S2855
D,7,D07,19,failing,dilated_cardiomyopathy,S2890
D,8,D08,19,failing,dilated_cardiomyopathy,S2454
D,9,D09,19,failing,dilated_cardiomyopathy,S2625
D,10,D10,19,failing,dilated_cardiomyopathy,S2635
D,11,D11,19,failing,dilated_cardiomyopathy,S2687
E,2,E02,19,failing,dilated_cardiomyopathy,DMSO
E,3,E03,19,failing,dilated_cardiomyopathy,S2721
E,4,E04,19,failing,dilated_cardiomyopathy,S2772
E,5,E05,19,failing,dilated_cardiomyopathy,DMSO
E,6,E06,19,failing,dilated_cardiomyopathy,S2795
E,7,E07,19,failing,dilated_cardiomyopathy,S2822
E,8,E08,19,failing,dilated_cardiomyopathy,DMSO
E,9,E09,19,failing,dilated_cardiomyopathy,S2862
E,10,E10,19,failing,dilated_cardiomyopathy,S2891
E,11,E11,19,failing,dilated_cardiomyopathy,DMSO
F,2,F02,19,failing,dilated_cardiomyopathy,S2894
F,3,F03,19,failing,dilated_cardiomyopathy,S2918
F,4,F04,19,failing,dilated_cardiomyopathy,S3033
F,5,F05,19,failing,dilated_cardiomyopathy,S4053
F,6,F06,19,failing,dilated_cardiomyopathy,S4261
F,7,F07,19,failing,dilated_cardiomyopathy,S4651
F,8,F08,19,failing,dilated_cardiomyopathy,S4908
F,9,F09,19,failing,dilated_cardiomyopathy,S7015
F,10,F10,19,failing,dilated_cardiomyopathy,S7038
F,11,F11,19,failing,dilated_cardiomyopathy,S7083
G,2,G02,19,failing,dilated_cardiomyopathy,S2897
G,3,G03,19,failing,dilated_cardiomyopathy,S2922
G,4,G04,19,failing,dilated_cardiomyopathy,S3034
G,5,G05,19,failing,dilated_cardiomyopathy,S4073
G,6,G06,19,failing,dilated_cardiomyopathy,S4285
G,7,G07,19,failing,dilated_cardiomyopathy,S4656
G,8,G08,19,failing,dilated_cardiomyopathy,S4921
G,9,G09,19,failing,dilated_cardiomyopathy,S7016
G,10,G10,19,failing,dilated_cardiomyopathy,S7050
G,11,G11,19,failing,dilated_cardiomyopathy,S7092
